"","id","observed_on_string","observed_on","time_observed_at","time_zone","out_of_range","user_id","user_login","created_at","updated_at","quality_grade","license","url","image_url","tag_list","description","id_please","num_identification_agreements","num_identification_disagreements","captive_cultivated","oauth_application_id","place_guess","positional_accuracy","geoprivacy","coordinates_obscured","positioning_method","positioning_device","species_guess","scientific_name","common_name","iconic_taxon_name","taxon_id","taxon_kingdom_name","taxon_phylum_name","taxon_class_name","taxon_order_name","taxon_family_name","hometown","NLCD_layer","longitude","latitude"
"44",2937107,"Thu Apr 14 2016 18:05:59 GMT-0700 (PDT)","2016-04-14","2016-04-15 13:05:59 +1200","Pacific Time (US & Canada)","false",10814,"smartrf","2016-04-15 13:07:51 +1200","2018-01-14 08:55:37 +1300","research","CC-BY-NC","http://www.inaturalist.org/observations/2937107","https://static.inaturalist.org/photos/3366681/medium.jpg?1460682510","","Saw two house finches. This is just one.","false",1,0,"false",3,"1423 N Curson Ave, Los Angeles, CA, US",5,"","false","","","House Finch","Haemorhous mexicanus","House Finch","Aves",199840,"Animalia","Chordata","Aves","Passeriformes","Fringillidae","la",23,-118.3550751117,34.096660805
"45",2937110,"Thu Apr 14 2016 18:08:03 GMT-0700 (PDT)","2016-04-14","2016-04-15 13:08:03 +1200","Pacific Time (US & Canada)","",76855,"bradrumble","2016-04-15 13:08:41 +1200","2018-01-14 08:55:37 +1300","research","CC-BY-NC","http://www.inaturalist.org/observations/2937110","https://static.inaturalist.org/photos/3366686/medium.jpg?1460682527","","","false",2,0,"false",3,"2993 Allesandro St, Los Angeles, CA, US",5,"","false","","","Giant Reed","Arundo donax","giant reed","Plantae",64017,"Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","la",22,-118.2446737123,34.1066857287999
"46",2937114,"Thu Apr 14 2016 18:09:02 GMT-0700 (PDT)","2016-04-14","2016-04-15 13:09:02 +1200","Pacific Time (US & Canada)","",10814,"smartrf","2016-04-15 13:09:38 +1200","2018-01-14 08:55:38 +1300","research","CC-BY-NC","http://www.inaturalist.org/observations/2937114","https://static.inaturalist.org/photos/3366698/medium.jpg?1460682613","","","false",2,0,"false",3,"1351 N Curson Ave, Los Angeles, CA, US",5,"","false","","","Honey Bee","Apis mellifera","Western Honey Bee","Insecta",47219,"Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","la",23,-118.3551826515,34.0961024864
"47",2937115,"Thu Apr 14 2016 18:09:26 GMT-0700 (PDT)","2016-04-14","2016-04-15 13:09:26 +1200","Pacific Time (US & Canada)","",76855,"bradrumble","2016-04-15 13:09:48 +1200","2018-01-14 08:55:40 +1300","research","CC-BY-NC","http://www.inaturalist.org/observations/2937115","https://static.inaturalist.org/photos/3366694/medium.jpg?1460682598","","","false",3,0,"false",3,"2993 Allesandro St, Los Angeles, CA, US",5,"","false","","","castor oil plant","Ricinus communis","castor bean","Plantae",56739,"Plantae","Magnoliophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","la",22,-118.2445934975,34.1066084896
"48",2937145,"Thu Apr 14 2016 18:16:41 GMT-0700 (PDT)","2016-04-14","2016-04-15 13:16:41 +1200","Pacific Time (US & Canada)","false",10814,"smartrf","2016-04-15 13:17:13 +1200","2018-01-14 08:55:41 +1300","research","CC-BY-NC","http://www.inaturalist.org/observations/2937145","https://static.inaturalist.org/photos/3366753/medium.jpg?1460683052","","","false",1,0,"false",3,"1410 N Stanley Ave, Los Angeles, CA, US",5,"","false","","","Northern Mockingbird","Mimus polyglottos","Northern Mockingbird","Aves",14886,"Animalia","Chordata","Aves","Passeriformes","Mimidae","la",23,-118.3559622524,34.0965651255
"49",2937148,"Thu Apr 14 2016 18:17:15 GMT-0700 (PDT)","2016-04-14","2016-04-15 13:17:15 +1200","Pacific Time (US & Canada)","false",76855,"bradrumble","2016-04-15 13:17:31 +1200","2018-01-14 08:55:41 +1300","research","CC-BY-NC","http://www.inaturalist.org/observations/2937148","https://static.inaturalist.org/photos/3366754/medium.jpg?1460683057","","","false",1,0,"false",3,"2944 Gleneden St, Los Angeles, CA, US",5,"","false","","","American Coot","Fulica americana","American Coot","Aves",473,"Animalia","Chordata","Aves","Gruiformes","Rallidae","la",23,-118.2479822171,34.1080651386
"51",2937228,"Thu Apr 14 2016 18:28:42 GMT-0700 (PDT)","2016-04-14","2016-04-15 13:28:42 +1200","Pacific Time (US & Canada)","",10814,"smartrf","2016-04-15 13:30:01 +1200","2018-01-14 08:55:43 +1300","research","CC-BY-NC","http://www.inaturalist.org/observations/2937228","https://static.inaturalist.org/photos/3366861/medium.jpg?1460683828","","","false",1,0,"false",3,"7513 Fountain Ave, Los Angeles, CA, US",5,"","false","","","Mexican Bush Katydid","Scudderia mexicana","Mexican Bush Katydid","Insecta",153211,"Animalia","Arthropoda","Insecta","Orthoptera","Tettigoniidae","la",23,-118.3537263797,34.0945563605
"52",2937231,"Thu Apr 14 2016 18:29:55 GMT-0700 (PDT)","2016-04-14","2016-04-15 13:29:55 +1200","Pacific Time (US & Canada)","",76855,"bradrumble","2016-04-15 13:30:32 +1200","2018-01-14 08:55:43 +1300","research","CC-BY-NC","http://www.inaturalist.org/observations/2937231","https://static.inaturalist.org/photos/3366863/medium.jpg?1460683838","","","false",1,0,"false",3,"Fletcher Dr, Los Angeles, CA, US",5,"","false","","","Wild Mallard","Anas platyrhynchos platyrhynchos","Northern Mallard","Aves",468039,"Animalia","Chordata","Aves","Anseriformes","Anatidae","la",22,-118.2544009947,34.1080484167
"53",2937256,"Thu Apr 14 2016 18:34:50 GMT-0700 (PDT)","2016-04-14","2016-04-15 13:34:50 +1200","Pacific Time (US & Canada)","",10814,"smartrf","2016-04-15 13:36:22 +1200","2017-04-13 06:07:23 +1200","research","CC-BY-NC","http://www.inaturalist.org/observations/2937256","https://static.inaturalist.org/photos/3366897/medium.jpg?1460684227","","I think this adult emerged from that pupae","false",1,0,"false",3,"7513 Fountain Ave, Los Angeles, CA, US",5,"","false","","","Asian Lady Beetle","Harmonia axyridis","Asian Lady Beetle","Insecta",48484,"Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","la",24,-118.3534842265,34.0944881738
"57",2937413,"Thu Apr 14 2016 19:03:14 GMT-0700 (PDT)","2016-04-14","2016-04-15 14:03:14 +1200","Pacific Time (US & Canada)","",216883,"justo-g","2016-04-15 14:06:28 +1200","2018-01-14 08:55:46 +1300","research","CC-BY-NC","http://www.inaturalist.org/observations/2937413","https://static.inaturalist.org/photos/3367186/medium.jpg?1460685999","","","true",2,0,"false",3,"9601 Dale Ave, Los Angeles, CA, US",2863,"","false","","","Chilicothe","Marah macrocarpa","Chilicothe","Plantae",77959,"Plantae","Magnoliophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae","la",22,-118.3557539786,34.2434628575
"60",2937471,"Thu Apr 14 2016 18:32:05 GMT-0700 (PDT)","2016-04-14","2016-04-15 13:32:05 +1200","Pacific Time (US & Canada)","",216844,"karin5","2016-04-15 14:18:57 +1200","2018-01-14 08:55:48 +1300","research","","http://www.inaturalist.org/observations/2937471","https://static.inaturalist.org/photos/3367252/medium.jpg?1460686745","","","false",1,0,"false",3,"6265 Blucher Ave, Los Angeles, CA, US",45,"","false","","","Gulf Fritillary","Agraulis vanillae","Gulf Fritillary","Insecta",49150,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","la",23,-118.4724270337,34.1846831902
"61",2937732,"2016-04-14 2:38:56 PM PDT","2016-04-14","2016-04-15 09:38:56 +1200","Pacific Time (US & Canada)","",12809,"cedric_lee","2016-04-15 14:56:31 +1200","2017-04-13 06:07:50 +1200","research","CC-BY-NC","http://www.inaturalist.org/observations/2937732","https://static.inaturalist.org/photos/3367701/medium.jpeg?1460689137","","","false",2,0,"false",2,"Angeles MRCA Open Space, Los Angeles County, US-CA, US",16,"","false","gps","gps","Castor oil plant","Ricinus communis","castor bean","Plantae",56739,"Plantae","Magnoliophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","la",21,-118.0225520096,34.1957303867
"62",2937733,"2016-04-14 2:41:25 PM PDT","2016-04-14","2016-04-15 09:41:25 +1200","Pacific Time (US & Canada)","",12809,"cedric_lee","2016-04-15 14:56:32 +1200","2017-04-13 06:07:50 +1200","research","CC-BY-NC","http://www.inaturalist.org/observations/2937733","https://static.inaturalist.org/photos/3367703/medium.jpeg?1460689147","","","false",1,0,"false",2,"Angeles MRCA Open Space, Los Angeles County, US-CA, US",16,"","false","","","Giant Reed","Arundo donax","giant reed","Plantae",64017,"Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","la",52,-118.0219691342,34.1964025998
"63",2937734,"2016-04-14 2:46:01 PM PDT","2016-04-14","2016-04-15 09:46:01 +1200","Pacific Time (US & Canada)","",12809,"cedric_lee","2016-04-15 14:56:33 +1200","2017-04-13 06:07:50 +1200","research","CC-BY-NC","http://www.inaturalist.org/observations/2937734","https://static.inaturalist.org/photos/3367704/medium.jpeg?1460689154","","","false",2,0,"false",2,"Angeles MRCA Open Space, Los Angeles County, US-CA, US",16,"","false","","","common catchfly","Silene gallica","Small-flowered Catchfly","Plantae",53212,"Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","la",52,-118.0206075734,34.1985050211
"64",2937736,"2016-04-14 2:47:45 PM PDT","2016-04-14","2016-04-15 09:47:45 +1200","Pacific Time (US & Canada)","",12809,"cedric_lee","2016-04-15 14:56:38 +1200","2017-04-13 06:07:51 +1200","research","CC-BY-NC","http://www.inaturalist.org/observations/2937736","https://static.inaturalist.org/photos/3367706/medium.jpeg?1460689159","","","false",1,0,"false",2,"San Olene Canyon",27,"","false","","","goldentop grass","Lamarckia aurea","goldentop grass","Plantae",58379,"Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","la",52,-118.020748,34.1984979999999
"65",2937740,"2016-04-14 2:51:19 PM PDT","2016-04-14","2016-04-15 09:51:19 +1200","Pacific Time (US & Canada)","",12809,"cedric_lee","2016-04-15 14:56:45 +1200","2017-04-13 06:07:51 +1200","research","CC-BY-NC","http://www.inaturalist.org/observations/2937740","https://static.inaturalist.org/photos/3367715/medium.jpeg?1460689187","","","false",2,0,"false",2,"Angeles MRCA Open Space, Los Angeles County, US-CA, US",8,"","false","","","Pacific pea","Lathyrus vestitus","Pacific pea","Plantae",50320,"Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","la",52,-118.0203045991,34.1989927627
"66",2937745,"2016-04-14 2:54:50 PM PDT","2016-04-14","2016-04-15 09:54:50 +1200","Pacific Time (US & Canada)","",12809,"cedric_lee","2016-04-15 14:56:50 +1200","2017-04-13 06:07:52 +1200","research","CC-BY-NC","http://www.inaturalist.org/observations/2937745","https://static.inaturalist.org/photos/3367720/medium.jpeg?1460689216","","","false",1,0,"false",2,"Angeles MRCA Open Space, Los Angeles County, US-CA, US",8,"","false","","","Miner's Lettuce","Claytonia perfoliata","miner's lettuce","Plantae",52994,"Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Montiaceae","la",90,-118.0198222598,34.1994120976
"67",2937746,"2016-04-14 2:55:11 PM PDT","2016-04-14","2016-04-15 09:55:11 +1200","Pacific Time (US & Canada)","",12809,"cedric_lee","2016-04-15 14:56:51 +1200","2017-04-13 06:07:52 +1200","research","CC-BY-NC","http://www.inaturalist.org/observations/2937746","https://static.inaturalist.org/photos/3367724/medium.jpeg?1460689222","","","false",1,0,"false",2,"Angeles MRCA Open Space, Los Angeles County, US-CA, US",8,"","false","","","heartleaf keckiella","Keckiella cordifolia","heartleaf keckiella","Plantae",62063,"Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Plantaginaceae","la",90,-118.0194772122,34.1994917378999
"68",2937747,"2016-04-14 2:55:34 PM PDT","2016-04-14","2016-04-15 09:55:34 +1200","Pacific Time (US & Canada)","",12809,"cedric_lee","2016-04-15 14:56:52 +1200","2017-04-13 06:07:53 +1200","research","CC-BY-NC","http://www.inaturalist.org/observations/2937747","https://static.inaturalist.org/photos/3367731/medium.jpeg?1460689233","","","false",1,0,"false",2,"Angeles MRCA Open Space, Los Angeles County, US-CA, US",8,"","false","","","baby-blue-eyes","Nemophila menziesii","Menzies' baby blue eyes","Plantae",50648,"Plantae","Magnoliophyta","Magnoliopsida","Boraginales","Boraginaceae","la",52,-118.0196683103,34.1995597506
"69",2937748,"2016-04-14 2:56:24 PM PDT","2016-04-14","2016-04-15 09:56:24 +1200","Pacific Time (US & Canada)","",12809,"cedric_lee","2016-04-15 14:56:54 +1200","2017-04-13 06:07:53 +1200","research","CC-BY-NC","http://www.inaturalist.org/observations/2937748","https://static.inaturalist.org/photos/3367733/medium.jpeg?1460689240","","","false",1,0,"false",2,"San Olene Canyon",54,"","false","","","California asterella","Asterella californica","California asterella","Plantae",53746,"Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Aytoniaceae","la",90,-118.019793,34.2001
"70",2937749,"2016-04-14 2:57:10 PM PDT","2016-04-14","2016-04-15 09:57:10 +1200","Pacific Time (US & Canada)","",12809,"cedric_lee","2016-04-15 14:56:55 +1200","2017-04-13 06:07:53 +1200","research","CC-BY-NC","http://www.inaturalist.org/observations/2937749","https://static.inaturalist.org/photos/3367734/medium.jpeg?1460689248","","","false",1,0,"false",2,"Angeles MRCA Open Space, Los Angeles County, US-CA, US",12,"","false","","","Mexican devil","Ageratina adenophora","sticky snakeroot","Plantae",64114,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","la",90,-118.0198227288,34.1998391774
"71",2937751,"2016-04-14 2:57:27 PM PDT","2016-04-14","2016-04-15 09:57:27 +1200","Pacific Time (US & Canada)","",12809,"cedric_lee","2016-04-15 14:56:56 +1200","2017-04-13 06:07:53 +1200","research","CC-BY-NC","http://www.inaturalist.org/observations/2937751","https://static.inaturalist.org/photos/3367735/medium.jpeg?1460689257","","","false",1,0,"false",2,"Angeles MRCA Open Space, Los Angeles County, US-CA, US",32,"","false","","","California sweet cicely","Osmorhiza brachypoda","California sweet cicely","Plantae",58793,"Plantae","Magnoliophyta","Magnoliopsida","Apiales","Apiaceae","la",90,-118.0198928004,34.1997397568
"72",2937752,"2016-04-14 2:58:12 PM PDT","2016-04-14","2016-04-15 09:58:12 +1200","Pacific Time (US & Canada)","",12809,"cedric_lee","2016-04-15 14:56:58 +1200","2017-07-04 16:53:31 +1200","research","CC-BY-NC","http://www.inaturalist.org/observations/2937752","https://static.inaturalist.org/photos/3367737/medium.jpeg?1460689262","","","false",2,0,"false",2,"Angeles MRCA Open Space, Los Angeles County, US-CA, US",8,"","false","","","Tree Tobacco","Nicotiana glauca","tree tobacco","Plantae",58334,"Plantae","Magnoliophyta","Magnoliopsida","Solanales","Solanaceae","la",90,-118.0197988897,34.199787818
"73",2937755,"2016-04-14 3:21:02 PM PDT","2016-04-14","2016-04-15 10:21:02 +1200","Pacific Time (US & Canada)","",12809,"cedric_lee","2016-04-15 14:57:02 +1200","2017-04-13 06:07:54 +1200","research","CC-BY-NC","http://www.inaturalist.org/observations/2937755","https://static.inaturalist.org/photos/3367741/medium.jpeg?1460689284","","","false",1,0,"false",2,"San Olene Canyon",109,"","false","","","Catchweed Bedstraw","Galium aparine","catchweed bedstraw","Plantae",53059,"Plantae","Magnoliophyta","Magnoliopsida","Gentianales","Rubiaceae","la",90,-118.019943,34.200253
"74",2937756,"2016-04-14 3:21:47 PM PDT","2016-04-14","2016-04-15 10:21:47 +1200","Pacific Time (US & Canada)","",12809,"cedric_lee","2016-04-15 14:57:04 +1200","2017-04-13 06:07:54 +1200","research","CC-BY-NC","http://www.inaturalist.org/observations/2937756","https://static.inaturalist.org/photos/3367747/medium.jpeg?1460689295","","","false",1,0,"false",2,"San Olene Canyon",54,"","false","","","honesty","Lunaria annua","Annual Honesty","Plantae",55886,"Plantae","Magnoliophyta","Magnoliopsida","Brassicales","Brassicaceae","la",90,-118.019793,34.2002779999999
"75",2937757,"2016-04-14 3:22:31 PM PDT","2016-04-14","2016-04-15 10:22:31 +1200","Pacific Time (US & Canada)","",12809,"cedric_lee","2016-04-15 14:57:05 +1200","2017-04-13 06:07:55 +1200","research","CC-BY-NC","http://www.inaturalist.org/observations/2937757","https://static.inaturalist.org/photos/3367751/medium.jpeg?1460689305","","","false",1,0,"false",2,"San Olene Canyon",54,"","false","","","Watercress","Nasturtium officinale","watercress","Plantae",78174,"Plantae","Magnoliophyta","Magnoliopsida","Brassicales","Brassicaceae","la",90,-118.019879,34.2002779999999
"76",2937759,"2016-04-14 3:24:29 PM PDT","2016-04-14","2016-04-15 10:24:29 +1200","Pacific Time (US & Canada)","",12809,"cedric_lee","2016-04-15 14:57:07 +1200","2017-04-13 06:07:55 +1200","research","CC-BY-NC","http://www.inaturalist.org/observations/2937759","https://static.inaturalist.org/photos/3367758/medium.jpeg?1460689319","","","false",1,0,"false",2,"San Olene Canyon",211,"","false","","","Spanish Broom","Spartium junceum","Spanish Broom","Plantae",47406,"Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","la",52,-118.018656,34.202312
